Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,zone_specular,zone_forward_scatter,zone_backscatter,zone_residual
25,0,2.0,309.0,2.0,73.3372843313,-38.15623758,11.0018055754,163.915839885,39.7106810843,0.389931576187,True,False,False,False
25,0,70.0,159.0,70.0,12.9209816107,12.7134769057,-14.1838336113,311.871008113,19.0476673361,0.0252727567104,False,False,True,False
25,0,50.0,90.0,50.0,13.1713629488,12.9717357495,-14.5522841148,311.713437688,19.4944838689,0.0259246913007,False,False,True,False
25,0,40.0,255.0,40.0,12.8983171102,12.7212885195,-14.3346868173,311.587386959,19.165448801,0.0251460187927,False,True,False,False
25,0,80.0,310.0,80.0,12.9673631837,12.96412459,-14.5417642171,311.717315144,19.4815664906,0.0254545126024,False,False,True,False
25,0,4.0,83.0,4.0,70.0726761816,-42.5242086344,12.0488793573,164.180365056,44.1982331519,0.342463371022,True,False,False,False
25,0,10.0,257.0,10.0,44.8246005215,-30.0530352215,5.24051083598,170.108480231,30.5065219232,0.125685375958,True,False,False,False
25,0,80.0,40.0,80.0,13.0464494693,13.0212158326,-14.5317306138,311.862057064,19.5121310059,0.0256996107703,False,False,True,False
25,0,50.0,51.0,50.0,13.1060915313,13.1349431802,-14.6776333073,311.825207724,19.6966913935,0.0259687221528,False,False,True,False
25,0,60.0,349.0,60.0,12.8285669869,12.970189638,-14.5027739524,311.807053819,19.4565225968,0.025185385602,False,False,True,False
25,0,70.0,286.0,70.0,13.1593140627,13.0102501476,-14.5187565121,311.863501268,19.4951506678,0.0259547396275,False,False,True,False
25,0,80.0,70.0,80.0,12.999877773,13.2052738377,-14.6444188409,312.04184686,19.7189822333,0.0257052295524,False,False,True,False
25,0,50.0,167.0,50.0,13.028201208,12.8967796078,-14.3554212154,311.936235065,19.2977989036,0.0254877428665,False,False,True,False
25,0,8.0,346.0,8.0,38.4781210954,-21.2504719636,0.99359987536,177.322993669,21.2736879593,0.0959984406772,True,False,False,False
25,0,4.0,305.0,4.0,60.9898165547,-38.1874814067,9.43393817629,166.123341342,39.3355173565,0.248023039756,True,False,False,False
25,0,70.0,148.0,70.0,13.0543834581,13.095384562,-14.6220579103,311.847341054,19.6288989594,0.0257643996397,False,False,True,False
25,0,30.0,220.0,30.0,13.1482426016,12.6320548386,-14.3685512468,311.320190772,19.1317556532,0.025772536423,False,True,False,False
25,0,8.0,180.0,8.0,36.0363166269,-17.4597733724,-1.09006898649,183.57252014,17.493768508,0.0870252776747,True,False,False,False
25,0,50.0,103.0,50.0,13.0239354388,12.999037445,-14.4705987641,311.933569271,19.4518174752,0.0255959234456,False,False,True,False
25,0,60.0,281.0,60.0,12.8708215268,13.1400029913,-14.6190139803,311.950142857,19.6564302041,0.0253774073964,False,False,True,False
25,0,70.0,339.0,70.0,12.70771444,12.7870383906,-14.2039872106,311.994900046,19.1118184243,0.0247768420682,False,False,True,False
25,0,70.0,349.0,70.0,12.8979915011,13.1187673741,-14.7188770265,311.710254655,19.716678177,0.0253945886775,False,False,True,False
25,0,60.0,259.0,60.0,12.9495111207,13.1298342652,-14.5938527743,311.977161093,19.6309216959,0.0254997488887,False,False,True,False
25,0,80.0,110.0,80.0,12.7157184864,12.8955106636,-14.4145715785,311.816333795,19.3409945211,0.024891728288,False,False,True,False
25,0,10.0,206.0,10.0,35.0114172079,-16.4553816473,-0.978849062068,183.404230355,16.4844693771,0.0819293054464,True,False,False,False
25,0,4.0,0.0,4.0,50.9253310859,-32.0816553844,6.61141263808,168.35545958,32.7558145872,0.165720541167,True,False,False,False
25,0,30.0,100.0,30.0,13.2484524119,12.7711808189,-14.4213894691,311.527206643,19.2634247663,0.0260157469891,False,True,False,False
25,0,70.0,138.0,70.0,12.9859016459,13.3265348195,-14.8224326457,311.95803814,19.9324117916,0.0256652884516,False,False,True,False
25,0,6.0,114.0,6.0,53.3382889496,-36.1468940049,8.24879778022,167.145109366,37.0761461187,0.181255611953,True,False,False,False
25,0,30.0,280.0,30.0,13.3398510022,12.7236840312,-14.4341945078,311.396046033,19.2415723478,0.0262457913396,False,True,False,False
25,0,4.0,166.0,4.0,51.3542026612,-32.7275154892,6.50314679814,168.761386017,33.3673671178,0.168898471208,True,False,False,False
25,0,70.0,275.0,70.0,13.0661958288,13.1422407175,-14.6206517618,311.951802428,19.6591441578,0.0257931108965,False,False,True,False
25,0,80.0,30.0,80.0,13.0917326474,12.9810549696,-14.4792076146,311.877203548,19.44621406,0.0257564095572,False,False,True,False
25,0,30.0,180.0,30.0,13.2043313709,12.5791115278,-14.2823944437,311.371743298,19.0321001961,0.0258425763161,False,True,False,False
25,0,80.0,290.0,80.0,12.9882532049,12.9582129699,-14.5406087577,311.706596158,19.4767704309,0.0254870708605,False,False,True,False
25,0,10.0,0.0,10.0,31.8456342756,-13.4957149316,-2.48618479245,190.438017533,13.7228071595,0.0704349298282,True,False,False,False
25,0,6.0,265.0,6.0,60.0506117422,-40.9909469432,10.4786178787,165.660426813,42.3090907956,0.235021660747,True,False,False,False
25,0,80.0,270.0,80.0,13.1745531657,13.2274604637,-14.6946411236,311.992131118,19.7711453404,0.0261017660668,False,False,True,False
25,0,60.0,202.0,60.0,12.9548008441,12.9170161978,-14.4581487229,311.777835587,19.387815038,0.0254166148247,False,False,True,False
25,0,40.0,0.0,40.0,12.9772597371,12.947910048,-14.5245689791,311.715370349,19.4579412745,0.0254343320196,False,True,False,False
25,0,4.0,138.0,4.0,56.5639940095,-36.8679464134,8.9186211957,166.40098915,37.9313495248,0.207128293324,True,False,False,False
25,0,70.0,74.0,70.0,12.8704408492,12.9954622037,-14.5435884635,311.782465711,19.5037945868,0.0252885429988,False,False,True,False
25,0,40.0,345.0,40.0,13.1098595895,12.8242675345,-14.469240729,311.550969215,19.3344450417,0.0257065080108,False,True,False,False
25,0,80.0,240.0,80.0,12.9739440829,12.9082336677,-14.4809476837,311.713628132,19.3989778658,0.02540293195,False,False,True,False
25,0,80.0,120.0,80.0,13.0926866859,13.073798694,-14.6346380182,311.775888336,19.6238844833,0.0259239449248,False,False,True,False
25,0,2.0,103.0,2.0,80.1272565098,-36.795430903,11.0318155931,163.310490094,38.413600334,0.496285588655,True,False,False,False
25,0,8.0,194.0,8.0,38.713271239,-19.8278415963,0.333228267656,179.037173258,19.8306415288,0.0987683972821,True,False,False,False
25,0,8.0,152.0,8.0,40.3921883201,-23.4034022267,1.77228431907,175.669391668,23.4704117453,0.105032333009,True,False,False,False
25,0,70.0,254.0,70.0,13.1249338427,13.0962778669,-14.7094677298,311.67962591,19.6946930633,0.0258626369247,False,False,True,False
25,0,2.0,51.0,2.0,73.8268408418,-39.9465727098,11.8080132418,163.532576086,41.6552259384,0.394867573744,True,False,False,False
25,0,40.0,270.0,40.0,12.926343325,12.8183460423,-14.3279110315,311.817140779,19.224958512,0.0253037507066,False,True,False,False
25,0,60.0,101.0,60.0,13.1469701722,13.0843055673,-14.52247578,312.017882614,19.5474129992,0.0259604701428,False,False,True,False
25,0,50.0,129.0,50.0,12.904805774,12.867336871,-14.5042640599,311.577567871,19.3892246898,0.0251937380317,False,False,True,False
25,0,70.0,116.0,70.0,12.9256040338,13.0627107399,-14.5024816812,312.01007333,19.5181040777,0.025465022896,False,False,True,False
25,0,30.0,200.0,30.0,13.2561808273,12.7136187837,-14.4632245987,311.316464013,19.2567122939,0.026077112109,False,True,False,False
25,0,30.0,120.0,30.0,13.2904161451,12.5621504908,-14.3829089007,311.134229176,19.0964837968,0.0260367422873,False,True,False,False
25,0,60.0,315.0,60.0,12.9156056126,12.806086241,-14.4454486645,311.55742365,19.3045805946,0.0253619660171,False,False,True,False
25,0,70.0,180.0,70.0,12.8112449178,13.162037069,-14.6037807819,312.027578692,19.6598482428,0.0251794085372,False,False,True,False
25,0,50.0,0.0,50.0,12.8932016911,12.7767379195,-14.3959276465,311.589839017,19.2480587247,0.0252188822181,False,False,True,False
25,0,6.0,246.0,6.0,57.7282304075,-39.9232683825,9.51926442508,166.588863923,41.0424628103,0.214691517314,True,False,False,False
25,0,70.0,0.0,70.0,13.015980868,13.0594194927,-14.4984811359,312.010754328,19.512928861,0.0256870937656,False,False,True,False
25,0,50.0,77.0,50.0,13.20894652,13.1249111704,-14.4993432817,312.151623616,19.5574601836,0.0260828313958,False,False,True,False
25,0,80.0,230.0,80.0,12.8507462734,13.0309322862,-14.4442303511,312.055351112,19.4535597432,0.0251457275178,False,False,True,False
25,0,60.0,22.0,60.0,12.977697339,12.9933288498,-14.4494306671,311.962757045,19.4322577484,0.0254613335061,False,False,True,False
25,0,70.0,169.0,70.0,12.7603255463,12.8027282797,-14.3962954903,311.646923157,19.265595637,0.0249042930378,False,False,True,False
25,0,80.0,90.0,80.0,12.8065189868,12.9612063465,-14.4322445622,311.926148379,19.3980038422,0.0250834314497,False,False,True,False
25,0,80.0,320.0,80.0,13.2675396033,13.1285100089,-14.8394897203,311.499217145,19.8133346566,0.0264029689504,False,False,True,False
25,0,20.0,138.0,20.0,16.8806467823,7.59169853665,-12.3319567117,301.616944177,14.4814033509,0.0322817419725,False,True,False,False
25,0,50.0,244.0,50.0,13.1964792221,12.8107729812,-14.4849189137,311.490234157,19.3372381769,0.0258863400977,False,False,True,False
25,0,40.0,285.0,40.0,12.9472800865,12.8410923729,-14.344175296,311.835318593,19.2522470962,0.0252754248178,False,True,False,False
25,0,8.0,166.0,8.0,38.4871030391,-21.4038952676,1.08883442322,177.08782514,21.4315723415,0.0958553901596,True,False,False,False
25,0,4.0,55.0,4.0,63.7838325737,-42.491256214,11.044800383,165.429479791,43.9032398593,0.271413440089,True,False,False,False
25,0,60.0,68.0,60.0,13.0348125178,12.7812862075,-14.3652240397,311.660706162,19.2281288437,0.0256144709893,False,False,True,False
25,0,8.0,97.0,8.0,52.1121633838,-35.3861400311,7.55548192536,167.947453733,36.1837562095,0.172327157704,True,False,False,False
25,0,30.0,320.0,30.0,13.2150986444,12.6785606605,-14.4364337393,311.29068862,19.213446321,0.025988027833,False,True,False,False
25,0,8.0,55.0,8.0,48.7175880645,-32.7311030272,6.53738524015,168.704939742,33.3775749741,0.149292382997,True,False,False,False
25,0,40.0,60.0,40.0,13.1533647382,12.9577356264,-14.5172823387,311.751242781,19.4590441457,0.0258713035824,False,True,False,False
25,0,80.0,250.0,80.0,12.7020845321,12.8439399476,-14.3235303574,311.882646132,19.2387711477,0.0248059462596,False,False,True,False
25,0,40.0,195.0,40.0,13.0832840807,12.8814289116,-14.4718135947,311.672428987,19.3743283632,0.0256865911734,False,True,False,False
25,0,50.0,193.0,50.0,13.0679632235,12.8821508072,-14.4163566267,311.783298721,19.3334204891,0.0255755783534,False,False,True,False
25,0,70.0,212.0,70.0,13.117520149,12.9767841565,-14.4889551046,311.848669236,19.4506233079,0.0258249884788,False,False,True,False
25,0,6.0,38.0,6.0,49.0858351509,-31.5030604182,5.74623655193,169.662749978,32.0228363863,0.15363364141,True,False,False,False
25,0,80.0,20.0,80.0,13.055783717,13.1661335662,-14.6095263547,312.025237485,19.6668587576,0.0257484324234,False,False,True,False
25,0,40.0,300.0,40.0,12.9695770883,12.9897588648,-14.5437639076,311.769626354,19.5001257423,0.0254886493297,False,True,False,False
25,0,50.0,154.0,50.0,13.0558529303,12.9636345142,-14.4646860686,311.867536501,19.4237731371,0.0256713996617,False,False,True,False
25,0,50.0,219.0,50.0,13.1212005274,12.9078861959,-14.5103115976,311.655218077,19.4206763194,0.0257794383723,False,False,True,False
25,0,50.0,64.0,50.0,13.1230883844,12.8872037619,-14.3945375033,311.837586634,19.3205261505,0.0257422431841,False,False,True,False
25,0,70.0,222.0,70.0,13.0113408898,13.0801705434,-14.595719713,311.865577642,19.599129965,0.0256730046705,False,False,True,False
25,0,50.0,26.0,50.0,12.9324984272,12.8859178952,-14.4218163486,311.780843091,19.3400017269,0.0253281924453,False,False,True,False
25,0,80.0,60.0,80.0,13.1897130464,13.1209293563,-14.7059586346,311.739935043,19.7084755,0.0261368460757,False,False,True,False
25,0,8.0,138.0,8.0,41.1855980986,-24.0900155288,2.75214357336,173.482548484,24.2467140542,0.108428114657,True,False,False,False
25,0,80.0,80.0,80.0,12.8552031152,13.0228557762,-14.3948377059,312.13530752,19.4114946654,0.0251790877817,False,False,True,False
25,0,60.0,135.0,60.0,13.3220265545,13.2760315641,-14.8330389714,311.829532958,19.9065833135,0.0266077372137,False,False,True,False
25,0,6.0,152.0,6.0,46.1604561186,-29.4567373488,4.94519487292,170.470055288,29.8689525689,0.134751343365,True,False,False,False
25,0,20.0,0.0,20.0,16.3933639677,7.6020929858,-12.3775017801,301.557679399,14.5256451864,0.030957103917,False,True,False,False
25,0,80.0,0.0,80.0,12.92574764,13.0256030575,-14.448765263,312.034749856,19.4533583897,0.0254033813075,False,False,True,False
25,0,80.0,210.0,80.0,13.109898122,13.17692789,-14.546960332,312.170913697,19.6276713728,0.0258813964004,False,False,True,False
25,0,50.0,257.0,50.0,13.37740084,13.1453588935,-14.7227866761,311.760329255,19.7372973821,0.0265539984647,False,False,True,False
25,0,70.0,244.0,70.0,12.7441685179,12.9743706737,-14.4247209035,311.969919181,19.4012078882,0.0249543734113,False,False,True,False
25,0,60.0,79.0,60.0,13.1457880579,12.9739687894,-14.4989010204,311.822952408,19.4561557597,0.0259296499921,False,False,True,False
