Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,lobe_specular,lobe_forward_scatter,lobe_backscatter,lobe_residual
1,0,2.0,309.0,2.0,39.096803448,2.77378555169,-5.72421017021,295.853477124,6.36085437339,0.115722289775,True,False,False,False
1,0,70.0,159.0,70.0,9.57037014632,11.4349571205,-12.7723320997,311.837806817,17.1432409892,0.0174675874377,False,False,True,False
1,0,50.0,90.0,50.0,9.7209663077,11.533479195,-12.8524412285,311.90405801,17.2686533312,0.0178724776238,False,False,True,False
1,0,40.0,255.0,40.0,10.0150413204,11.5126993921,-13.0569916845,311.403488001,17.4076787407,0.0182844526028,False,True,False,False
1,0,80.0,310.0,80.0,9.74981723272,11.6794181606,-12.7266558281,312.543008586,17.2735803219,0.0178639052188,False,False,True,False
1,0,4.0,83.0,4.0,41.8694416889,2.82597224251,-5.07244733181,299.123143607,5.80653434067,0.132892812061,True,False,False,False
1,0,10.0,257.0,10.0,14.290079721,10.8919434011,-14.8883187128,306.188323611,18.447126203,0.0272672501082,True,False,False,False
1,0,80.0,40.0,80.0,9.35947851318,11.3547848966,-12.5754172047,312.079986233,16.943206837,0.0169958843368,False,False,True,False
1,0,50.0,51.0,50.0,9.59719607859,11.5113631952,-12.7993756851,311.967235517,17.2143980592,0.017603987984,False,False,True,False
1,0,60.0,349.0,60.0,9.82040524903,11.5966803513,-12.9009521689,311.952408291,17.3469755876,0.0180799370569,False,False,True,False
1,0,70.0,286.0,70.0,9.18184888623,11.2443233353,-12.4042837922,312.19190158,16.7421941115,0.016747374459,False,False,True,False
1,0,80.0,70.0,80.0,9.59444942729,11.4656912592,-12.7134515261,312.045882185,17.1199861495,0.0175700091801,False,False,True,False
1,0,50.0,167.0,50.0,9.59536221837,11.2805285857,-12.6221922779,311.78734947,16.9283804031,0.0174806665447,False,False,True,False
1,0,8.0,346.0,8.0,14.7573946927,11.0569288989,-14.8669192155,306.639176855,18.5278429299,0.028420969035,True,False,False,False
1,0,4.0,305.0,4.0,27.9824617144,5.72511733402,-9.95226986045,299.909986016,11.4814913606,0.0652757347435,True,False,False,False
1,0,70.0,148.0,70.0,9.52725843641,11.2926390916,-12.660011905,311.732731076,16.9646573525,0.0173481409832,False,False,True,False
1,0,30.0,220.0,30.0,10.9597648039,11.2192655523,-13.5860353508,309.549687412,17.6196559583,0.020203036072,False,True,False,False
1,0,8.0,180.0,8.0,14.7075557614,10.8166625917,-14.7978890726,306.165303954,18.3296947772,0.0281157375002,True,False,False,False
1,0,50.0,103.0,50.0,9.78212156683,11.6790300744,-13.0561378361,311.813399766,17.51749065,0.0179885958547,False,False,True,False
1,0,60.0,281.0,60.0,9.41037697678,11.4153143136,-12.6310527053,312.105699196,17.0250666173,0.0171581420456,False,False,True,False
1,0,70.0,339.0,70.0,9.48656355551,11.1937156398,-12.5783563152,311.666486144,16.8378834008,0.0173052235728,False,False,True,False
1,0,70.0,349.0,70.0,9.16800886344,11.3228468816,-12.5600598749,312.034541268,16.9104099763,0.0166987285064,False,False,True,False
